Sun Nov 27 07:01:14 EST 2016,   https://t.co/KBLKTP89Xi, | Myths and Facts About Obstructive Sleep Apnea|, |['slideshow' 'slide show' 'slideshows' 'slide shows' 'pictures of' 'sleep apnea' 'OSA' 'obstructive sleep apnea' 'snoring' 'sleep' 'sleep disorder' 'breathing']|, ||
Mon Oct 03 21:30:18 EDT 2016,   https://t.co/HYpFVBzLd1, | The No-Gym Workout|, |['slideshow' 'slide show' 'slideshows' 'slide shows' 'pictures' 'flat abs exercises' 'home gym' 'home workout' 'equipment' 'sit ups' 'jump lunge' 'jump squat' 'plyometrics' 'jump training' 'standing wood chop' 'hip lift' 'hip lift on activity ball' 'plank position' 'pull-up' 'wide grip pull-up' 'split squat' 'Bulgarian split squat' 'biceps curl' 'tubing row' 'decline push-up' 'chair dip' 'low back exercises']|, ||
Tue Apr 26 16:53:01 EDT 2016,   https://t.co/Pi1UgNJTDN, | What's It Really Like to Have ADHD?|, |['ADHD' 'attention deficit hyperactivity disorder'] |, |Duane Gordon was a project manager at a firm in Montreal when his boss asked him to run the Monday morning meeting. "I was excited because this was obviously a test of [whether] I could eventually be groomed for taking over the department" he recalls. That discussion took place on Friday afternoon. On Monday everyone showed up for the meeting wondering where the boss was including Gordon. "It was completely gone from my memory that I was to run this meeting" he says. When the boss didn't show up everyone went back to their desks. Later in the day the boss came in and asked Gordon how the meeting went. "I said 'We didn't have the meeting you weren't here. I figured we'd have it when you came in.' And he looked at me completely dumbfounded like 'How is that even possible?'" Gordon has attention deficit hyperactivity disorder (ADHD). He describes it as a feeling of paranoia. “You're always always on edge." He explains: “You never know when something is going to go horribly wrong. There's every chance it will. If my boss calls me I wonder what went wrong. If I get mail I wonder if I'm going to jail. You assume and expect that at any moment you're going to get sideswiped by something and it's something you did or forgot to do that is going to have severe repercussions.”  ADHD is a condition that both children and adults can have. The symptoms include an inability to focus being easily distracted hyperactivity poor organization skills and impulsiveness. Not everyone who has ADHD has all these symptoms. They vary from person to person and tend to change with age. Only in the last few decades have researchers realized that ADHD can last into adulthood. Experts say every adult with ADHD had it as a child too whether it was diagnosed or not. And most adults with ADHD weren’t diagnosed as children says Linda Walker an ADHD coach. She helps clients with time management organization and anything else they need to be successful in life. She’s also a committee chair for the Attention Deficit Disorder Association (ADDA).|
Thu Jun 02 15:48:46 EDT 2016,   https://t.co/aWTVxTXf9H, | Is Your Work Hurting Your Health?|, |['pain' 'injury' 'workplace' 'back' 'eye']|, ||
Sat Oct 08 14:00:23 EDT 2016,   https://t.co/W2qK4aT9nS, | 'Mindfulness' Approach Could Help You Stay Slim|, |['mindfulness' 'overeating' 'personal goals' 'dieting' 'lose weight' 'stay slim' 'weight maintenance'] |, |FRIDAY Sept. 30 2016 (HealthDay News) -- A weight-loss therapy that focuses on personal values and "mindful" decision-making may help people shed more pounds a new clinical trial suggests. Over one year people who received the therapy lost more than 13 percent of their initial weight on average. To put that into perspective current behavioral therapies typically help people drop 5 percent to 8 percent of their starting weight the study authors said. Researchers call the new approach acceptance-based behavioral therapy or ABT. The study authors said ABT addresses some of the biggest obstacles in keeping extra pounds off -- including the difficulty of resisting temptation. "The standard advice on weight loss only works if people are able to stick with it" said Evan Forman who helped develop ABT. He's a professor of psychology at Drexel University in Philadelphia. There is nothing new about using behavioral therapy to help people lose weight. But Forman said the standard approaches don't address the "main issue." "People are biologically driven to eat especially foods that are rewarding and taste good" he said. Through most of human history when food was scarce that was an asset Forman pointed out. Now when so many people are surrounded by calorie-laden temptations every day the biological drive to eat can be a problem. "It takes special skills to resist those temptations" Forman said. "It's hard to turn down pleasure and reward. But those skills can be learned." ABT aims to teach people those skills. The new clinical trial put the approach to the test by comparing it with standard behavioral therapy which only encourages reducing calories and increasing exercise. Forman's team recruited 190 overweight or obese adults and randomly assigned them to either ABT or standard treatment. People in both groups went to 25 group sessions over one year meeting with therapists with expertise in weight loss. Both groups received help with diet changes and exercise "problem solving" and dealing with food cravings. But ABT had added components. For one Forman said people chose a goal based on their "personal values" -- rather than aiming for a certain number on the bathroom scale.|
Mon Aug 29 16:22:05 EDT 2016,   https://t.co/3dFZJKj1F7, | What You Should Know About Vitamin C|, |['vitamin c' 'nutrition' 'diet' 'healthy eating' 'antioxidant']|, ||
Fri Aug 05 11:16:53 EDT 2016,   https://t.co/M8C9OS70J2, | Quiz: Test Your Hair Coloring Know-How|, |['hair dye' 'hair color' 'temporary hair color' 'permanent hair color' 'henna' 'gray hair' 'grey hair' 'pregnant' 'ammonia' 'PPD' 'lead acetate' 'allergic' 'hair dye and cancer' 'quizzes' 'questions']|, ||
Sun Aug 07 12:39:38 EDT 2016,   https://t.co/tpqzYDsElO, | A Visual Guide to Sleep Disorders|, |['sleep disorders' 'slideshow' 'slide show' 'slideshows' 'slide shows' 'pictures of insomnia' 'sleep help' 'rem sleep' 'REM' 'disorder sleep' 'chronic insomnia' 'acute insomnia' 'restless legs syndrome' 'sleep apnea' 'narcolepsy' 'sleep walking' 'symptoms of sleep disorders' 'sleep cycles' 'sleep stages' 'CPAP' 'polysomnogram']|, ||
Thu Jun 30 18:59:00 EDT 2016,   https://t.co/Bp3lSxGhnf, | error|, |['Farmers' 'fishermen' 'foresters' 'suicide'] |, |THURSDAY June 30 2016 (HealthDay News) -- Can the type of job you choose affect your risk of suicide? Possibly according to a new U.S. report that found for certain occupations the odds of suicide were significantly higher.  From 2000 to 2012 the overall rates of suicide for people aged 16 and older rose 21 percent the study found. That works out to an approximate increase from 13 to 16 suicides per every 100000 people in the United States. But among farmers fishers and foresters the suicide rate was dramatically higher -- at 85 suicides per 100000 people. For males in those jobs the rate was even greater. Their suicide rate was 90.5 suicides per 100000 according to the report. "People working in certain occupations are at greater risk for suicide due to job isolation a stressful work environment trouble at work and home lower income and education and less access to mental health services" said lead researcher Wendy LiKamWa McIntosh. She's a health scientist at the U.S. Centers for Disease Control and Prevention.  "Farmers have additional risk factors like social isolation and unwillingness to seek mental health services" McIntosh said. The report also noted that farmers' exposure to pesticides may affect their neurological system and contribute to depression. Other occupations that carried significantly higher-than-normal rates of suicide included construction and extraction with 53 suicides per 100000; and installation maintenance and repair with 48 suicides per 100000 the study found.  For construction workers the report authors suggested that a lack of steady work isolation and a fragmented community might play a role in their higher risk. The investigators theorized that people working in installation maintenance and repair may have long-term exposure to solvents that could damage their neurological systems. That might contribute to memory loss and depression the researchers suggested. Men working in fishing forestry or farming had the highest rates of suicide for their gender. Among women the highest rate was seen in those working in protective services such as policing and firefighting. Their rate was 14 per 100000. Men in the protective services field had a suicide rate of 34 per 100000 the report noted.|
Fri Jun 17 17:35:30 EDT 2016,   https://t.co/PbLApqKVhB, | What Makes You Tick? Heart Facts|, |['heart' 'quiz' 'questions' 'heart trivia' 'anatomy' 'heart attack' 'heart disease' 'stroke' 'valentine' 'heart' 'cholesterol']|, ||
Mon Oct 10 20:30:13 EDT 2016,   https://t.co/jspFs7DRXq, | Nestle Recalls Ice Cream Due to Listeria Fears|, |['nestle' 'nestle ice cream' 'nestle ice cream recall' 'listeria' 'ice cream drumsticks recall' 'nestle drumsticks recall'] |, |Oct. 10 2016 -- Possible listeria contamination has led to the recall of Nestle Drumstick Club 16 count Variety Pack and 24 count Vanilla Pack the company says. The two pack sizes contain 4.6 fl.oz. cones and were distributed nationally. Listeria monocytogenes was found on equipment surfaces on the production line at the Bakersfield Calif. plant where the products are made Nestle said. However there have been no positive test results for listeria in the products themselves and no illnesses have been reported do date according to the company. Consumers with the products listed should not consume them but instead should return them to the place of purchase or call or text Nestle Consumer Services at 1-800-681-1676 for replacement. In healthy people listeria infection can cause short-term symptoms such as high fever severe headache stiffness nausea abdominal pain and diarrhea. But Listeria monocytogenes can cause serious and cause serious and sometimes fatal infections in young children frail or elderly people and others with weakened immune systems as well as miscarriage and stillbirth in pregnant women.|
